 ###############
  -2.69880376380900       0.000000000000000E+000   2.69880376380900
  0.000000000000000E+000   2.69880376380900        2.69880376380900
  -2.69880376380900        2.69880376380900       0.000000000000000E+000
           8
          93
    4    6    2    2    2    1    2    2    1    1    2    6    2    2    2
    6    2    2    4    1    1    1    4    1    1    1    1    2    1    1
    1    2    2    1    1    2    4    2    1    2    1    1    1    1    2
    1    1    1    2    1    1    1    1    2    1    2    4    2    1    1
    2    2    1    1    1    2    1    1    1    1    4    1    1    1    4
    2    2    6    2    2    2    6    2    1    1    2    2    1    2    2
    2    6    4

   -3    1    1
    2    1   -0.10851130E+00 -0.59746835E-06
    3    1    0.11740738E-01  0.33965036E-07
    4    1    0.11740738E-01  0.10043119E-07
    5    1   -0.23201685E-01 -0.24133649E-06
    6    1    0.11617003E-01  0.13389999E-06
    7    1    0.23201686E-01  0.18275812E-06
    8    1    0.40015842E-01  0.57467276E-06
    1    2   -0.10851130E+00  0.59746835E-06
    2    2   -0.53966102E-02  0.35133333E-17
    3    2    0.11740742E-01 -0.31185359E-07
    4    2    0.11740741E-01 -0.55537703E-07
    5    2    0.21166067E-01  0.10761862E-06
    6    2    0.10228703E-01  0.58777681E-07
    7    2   -0.21166064E-01 -0.48065302E-07
    8    2   -0.11617003E-01 -0.10592370E-06
    1    3    0.11740738E-01 -0.33965036E-07
    2    3    0.11740742E-01  0.31185359E-07
    3    3    0.16524925E-01 -0.21756246E-16
    4    3    0.59040626E-02 -0.92793520E-08
    5    3    0.13565625E-01  0.10549470E-06
    6    3   -0.21166066E-01 -0.18864231E-06
    7    3    0.14103542E-01  0.71731883E-07
    8    3   -0.23201686E-01 -0.27265779E-06
    1    4    0.11740738E-01 -0.10043119E-07
    2    4    0.11740741E-01  0.55537703E-07
    3    4    0.59040626E-02  0.92793520E-08
    4    4    0.16524927E-01 -0.13682566E-16
    5    4   -0.14103545E-01 -0.13954457E-06
    6    4   -0.21166066E-01 -0.22775562E-06
    7    4   -0.13565628E-01 -0.95497462E-07
    8    4   -0.23201685E-01 -0.31138512E-06
    1    5   -0.23201685E-01  0.24133649E-06
    2    5    0.21166067E-01 -0.10761862E-06
    3    5    0.13565625E-01 -0.10549470E-06
    4    5   -0.14103545E-01  0.13954457E-06
    5    5    0.16524926E-01  0.49698338E-17
    6    5   -0.11740741E-01 -0.13790969E-07
    7    5   -0.59040621E-02  0.13358471E-07
    8    5    0.11740737E-01  0.43151100E-07
    1    6    0.11617003E-01 -0.13389999E-06
    2    6    0.10228703E-01 -0.58777681E-07
    3    6   -0.21166066E-01  0.18864231E-06
    4    6   -0.21166066E-01  0.22775562E-06
    5    6   -0.11740741E-01  0.13790969E-07
    6    6   -0.53966119E-02 -0.40785091E-17
    7    6    0.11740742E-01 -0.45453642E-07
    8    6    0.10851130E+00  0.29735262E-06
